URL của bài hát,Tên bài hát,Tên album,Tên nghệ sĩ
https://music.youtube.com/watch?v=nKtGsbOJuOk,青とシャボン - Ao to Shabon,Special Thanks / Ao to Shabon / Milk,DOLLCHESTRA
https://music.youtube.com/watch?v=LI4j19cHprc,青とシャボン (Off Vocal) - Ao to Shabon (Off Vocal),Special Thanks / Ao to Shabon / Milk,DOLLCHESTRA
https://music.youtube.com/watch?v=6ixx9KAjbYo,ベイビー・ブルーを追いかけて（irucaice Remix） - Chasing Baby Blue（irucaice Remix）,Angel Gelato,"irucaice, stereoberry, Nakuru Aitsuki"
https://music.youtube.com/watch?v=E6s1GGMvPDE,Cheerful Days,"Dear, My Days!",Nanahira
https://music.youtube.com/watch?v=1hXEdMj_IBk,choose♡happiness,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=QsUx0ZGo_iA,シンデレラ・マジック・ステージ - Cinderella Magic Stage,Angel Gelato,"irucaice, Futaba Kayano (CV: Sena Horikoshi), DENONBU"
https://music.youtube.com/watch?v=1c3kiza7UGk,Colorful Tune Quester,Angel Gelato,"irucaice, MuMenkyo."
https://music.youtube.com/watch?v=nUoDxsu2_2A,Dear Next Song,"Dear, My Days!",Nanahira
https://music.youtube.com/watch?v=S0ioLEIPxZk,DEEPNESS,Genyo Yako,Hasu no Sora Jogakuin School Idol Club
https://music.youtube.com/watch?v=QK0MPGVNcTA,Girl meets manything,"Dear, My Days!",Nanahira
https://music.youtube.com/watch?v=dSeW7qZuMl0,Holiday∞Holiday - Holiday Holiday,Holiday Holiday / Tragic Drops (Cerise Bouquet Version),Cerise Bouquet
https://music.youtube.com/watch?v=f471Dhrm5AM,金平糖と恋のホロスコープ - Horoscope of Kompeito and Love.,Angel Gelato,"irucaice, suzusiro"
https://music.youtube.com/watch?v=NaUo6oyhqwg,金平糖と恋のホロスコープ（colate Remix for Angel Gelato） - Horoscope of Kompeito and Love.（colate Remix for Angel Gelato）,Angel Gelato,"irucaice, suzusiro, colate"
https://music.youtube.com/watch?v=vtquXZhzX9E,I’m a Messenger for U,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=IVcIvvAYF3o,アイスクリーム・エンジェルズ - Icecream Angels,Angel Gelato,"irucaice, Nanahira, suzusiro, Choko"
https://music.youtube.com/watch?v=IwO0QGVoSKo,Lucky☆Honey☆Pancake - Lucky Honey Pancake,Angel Gelato,"irucaice, Choko"
https://music.youtube.com/watch?v=NQWfji6YQvE,Melty Cream Soda,Angel Gelato,"irucaice, suzusiro"
https://music.youtube.com/watch?v=B5-HtbjGYws,ミルク - Milk,Special Thanks / Ao to Shabon / Milk,Mira-Cra Park！
https://music.youtube.com/watch?v=2MafocAr1Zs,ミルク (Off Vocal) - Milk (Off Vocal),Special Thanks / Ao to Shabon / Milk,Mira-Cra Park！
https://music.youtube.com/watch?v=do4_QtdEwzQ,My Favorite,Dreaming Girl,まめこ
https://music.youtube.com/watch?v=wlIDDBt8lFk,My Lucky Weekend,Angel Gelato,"irucaice, miya"
https://music.youtube.com/watch?v=HiO1kskF8VI,postMark,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=rACbgxNi37E,Rainbow Rush Story（Capchii Remix）,Angel Gelato,"irucaice, Choko, Capchii"
https://music.youtube.com/watch?v=GCpV5zUoVic,Rainbow Rush Story（Full ver.）,Angel Gelato,"irucaice, Choko"
https://music.youtube.com/watch?v=qfr60S8P5I0,Rainy Step,Angel Gelato,"irucaice, mameko"
https://music.youtube.com/watch?v=4V4B3ddq3NE,Special Thanks,Special Thanks / Ao to Shabon / Milk,Cerise Bouquet
https://music.youtube.com/watch?v=BKHJwqpGVUo,Special Thanks (Off Vocal),Special Thanks / Ao to Shabon / Milk,Cerise Bouquet
https://music.youtube.com/watch?v=nbCNhJUCe4w,Streaming Love,Angel Gelato,"irucaice, miya"
https://music.youtube.com/watch?v=hU871uOm9JY,TODO,"Dear, My Days!",Nanahira
https://music.youtube.com/watch?v=WFnmraGYGJM,very * berry * planet,Angel Gelato,"irucaice, Choko"
https://music.youtube.com/watch?v=_sIWJZWsk3Q,いっぱい食べる君が好きだよ,"Dear, My Days!",Nanahira
https://music.youtube.com/watch?v=MvYTKy6LoCA,エムファエア・カエルレア,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=QsQmv0JDVOs,凪月,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=QBf9izC4vJI,届きますように,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=i9Q3t-zAU4g,惑星、君を教えて,It's a Message for you,Nanahira
https://music.youtube.com/watch?v=d6BdKHqzQto,生きんの大変！,"Dear, My Days!",Nanahira
