Mã phiên trò chuyện trực tiếp,Mã nhận dạng kênh,Dấu thời gian đã tạo tin nhắn trò chuyện trực tiếp,Giá,Mã video,Nội dung tin nhắn trò chuyện trực tiếp
UgzxWjQbvxFP4rRKdQF4AaABDqgBt6XfiAI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-18T14:44:59.808217+00:00,0,JtxfFNj-aOA,"{""text"":""hellu a Sin""}"
UgxxMvhyILPyeEYHsIh4AaABDqgB1oXYhgI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-18T14:40:47.971412+00:00,0,JtxfFNj-aOA,"{""text"":""Hallo mn ""}"
UgwXZl7eNKShb6mWMaJ4AaABDqgB6NWXlwI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-15T14:51:02.404876+00:00,0,NDx5_P-p6Lk,"{""text"":""cute thếee""}"
Ugw_D5EvEY_YsWP6KdB4AaABDqgBzP_kmQI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-15T13:50:42.458378+00:00,0,NDx5_P-p6Lk,"{""text"":""tui là Duy bữa gửi marsh á ""}"
UgyLZ7GLMVJ9Zbw3Fs94AaABDqgBnJG4mAI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-15T13:49:20.773835+00:00,0,NDx5_P-p6Lk,"{""text"":"""",""emoji"":{""customEmojiUrl"":""Failed to get emoji URL""}},{""text"":""Hallo Lan, tui ng mới nè ""}"
UgxuAvruenRLp_slyah4AaABDqgBkLuyigI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-15T13:44:48.090441+00:00,0,NDx5_P-p6Lk,"{""text"":""eh, nhiều lần đầu thế :)""}"
UgzCBj8NeMy2Ye4YXTp4AaABDqgB7KqcjQI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-15T13:36:48.006684+00:00,0,NDx5_P-p6Lk,"{""text"":""Hello Lann""}"
UgxBatLBJQ7mHBfnBP14AaABDqgB5NPfhwI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-13T15:17:50.77321+00:00,0,47kXJT1ps8g,"{""text"":""Hello a Sin, em mới trồi lên ""}"
UgxS_8feMdDeret-Llx4AaABDqgBx8ymngI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-13T15:11:10.977224+00:00,0,h4e3INVLeK0,"{""text"":""Bye Lan nha, h qua ông Sin""}"
Ugz3jE1IwfCGduR9u_h4AaABDqgB2qiQhQI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-13T14:55:00.516296+00:00,0,h4e3INVLeK0,"{""text"":""hello @Hợp Vân  nha""}"
UgzyVXDrn2i0wDgGYh14AaABDqgBlf7YlAI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-13T14:54:41.197586+00:00,0,h4e3INVLeK0,"{""text"":""🙂""}"
Ugz2PwtZN09YZEPNnAJ4AaABDqgBw7HpjwI,UCnHRyiTsgPLe-Yd7jBFCptw,2022-12-13T14:53:15.343485+00:00,0,h4e3INVLeK0,"{""text"":""Tui đây nè Lan ơi, thank Lan đã chia sẻ nhaa :)""}"





